CUST_NO_y,VTG,AGETIER
5775952.8,5 th,51-65 th
5777681.4,5 th,21-30 th
5766195.6,5 th,21-30 th
5790041.6,5 th,21-30 th
5789393.8,5 th,21-30 th
5850583.2,5 th,21-30 th
5834702.8,5 th,21-30 th
5907672.6,5 th,31-40 th
5906342.0,5 th,21-30 th
5869649.4,5 th,21-30 th
5854207.8,5 th,31-40 th
5942751.8,5 th,21-30 th
5941671.8,5 th,21-30 th
5935806.0,5 th,21-30 th
5931288.2,5 th,21-30 th
5938491.0,6-10 th,31-40 th
5877051.6,5 th,31-40 th
6017784.8,5 th,21-30 th
5997257.2,5 th,21-30 th
6047081.2,5 th,21-30 th
6047449.2,5 th,51-65 th
6025824.0,5 th,41-50 th
6073816.6,5 th,31-40 th
6075257.0,5 th,21-30 th
6077226.2,5 th,21-30 th
6054737.0,5 th,21-30 th
6058306.2,5 th,21-30 th
6115027.4,5 th,31-40 th
6115585.2,5 th,21-30 th
6091252.8,5 th,21-30 th
6147406.6,4 th,21-30 th
6191372.2,4 th,41-50 th
6224863.4,4 th,21-30 th
6221696.4,6-10 th,41-50 th
6216687.2,4 th,21-30 th
6267786.4,4 th,41-50 th
6264870.8,4 th,41-50 th
6252195.0,4 th,21-30 th
6244352.2,4 th,21-30 th
6244265.8,4 th,41-50 th
6320160.4,4 th,31-40 th
6389437.6,4 th,21-30 th
6365040.6,4 th,21-30 th
6412647.4,16-20 th,31-40 th
6406160.2,4 th,21-30 th
6400424.0,4 th,41-50 th
6450360.6,4 th,31-40 th
6457892.4,4 th,21-30 th
6453792.8,4 th,21-30 th
6453616.0,4 th,21-30 th
6501225.6,4 th,31-40 th
6529754.2,4 th,21-30 th
6568802.0,4 th,21-30 th
6562540.6,4 th,21-30 th
6586672.4,3 th,31-40 th
6621943.4,3 th,21-30 th
6645147.2,3 th,21-30 th
6644986.8,3 th,21-30 th
6668827.2,3 th,21-30 th
6733834.6,3 th,21-30 th
6729481.0,3 th,21-30 th
6753492.8,3 th,21-30 th
6793401.0,3 th,21-30 th
6817858.8,3 th,21-30 th
6821992.4,3 th,21-30 th
6861233.0,3 th,21-30 th
6871666.4,3 th,21-30 th
